mediaeval medieval
spy spying
results consequences
curiously interestingly
diseases maladies
analysis assessments
analyses assessments
learn learning
confines restricts
withdraw withdrawal
behaviour behavioral
similarity resemblance
face confronting
facing confronting
reviews examinations
palestinian palestine
law legislation
mm millimeters
merged integrated
tireless indefatigable
kidnappings abductions
consultants advisers
synchronize synchronise
predetermined preordained
mature matured
resounded resonated
inhibits impede
inhibits impedes
inhibits impeded
swim swimming
spending expenditure
spent expenditure
extradited expelled
hesitation hesitancy
storage stores
embezzled misappropriated
providers suppliers
enabled enable
informers informants
unduly excessively
schultz schulz
agile nimble
guidelines instructions
antiques antiquities
vigorously forcefully
tramway trams
tramway tram
storehouse warehouse
chairman chairwoman
chairmen chairwoman
scenic picturesque
unreservedly unconditionally
unquestionable undoubted
mimicked imitated
clone cloning
combating fighting
penetrated entered
tying ties
method methods
decode decoding
forecasting prediction
regulation regulations
identified detected
unequal uneven
controlling controls
controlling control
backdrop background
differing different
corrected rectified
restructure restructuring
difficult challenging
photograph pictured
photographed pictured
sustained sustainable
unjustified unreasonable
morass quagmire
duress coercion
expanding expansion
repetition repeat
hospitalised hospitalized
turning turn
hire hiring
audited audit
cultivate cultivating
doubles double
tripled trebled
unrestricted unlimited
clashes confrontations
olympic olympians
tubing tube
insurers underwriters
consolidating consolidate
strove sought
strived sought
juveniles minors
assessment reviewed
cheat cheating
kilometer km
incompetent inept
boosted accelerated
considerably noticeably
harshly severely
viewed visualized
rekindled revived
suppressed quelled
renew renewing
unwed unmarried
chequebook checkbook
utilised exploited
effective efficient
repudiate rejected
repudiated rejected
voracious ravenous
unruly undisciplined
oversight monitored
oversight monitoring
propositions suggestion
propositions suggestions
abductions kidnappings
unwrapped unpacked
timetable schedule
releasing release
photography photo
strengthened reinforced
convert converting
hindered obstructed
amazed astonished
tireless untiring
deceleration slowdown
emphasized highlight
emphasize highlights
emphasize highlight
sergei sergey
dated date
rectified remedied
proposals propositions
decorative ornamental
defamation slander
resolving settling
modification alteration
responsibility liability
modified altered
hindering impeding
organize organized
hampers obstructing
hampers obstructs
fighting combating
convincing persuasive
defects deficiencies
contaminating infecting
spreadsheets worksheets
diminished reduced
diminished reducing
diminished reduce
earnestly sincerely
rectify correct
rectify corrects
renewing renew
disperse dispersed
imitated mimicked
remarkable notable
involvement participation
rebirth renaissance
listing list
barking bark
leisure recreation
deficiencies defects
added add
hampers restricts
changes alterations
pharmaceutical pharmaceuticals
revisions reviews
defenseless helpless
outstripped surpassed
shrunk decreased
stepfather stepdad
strangely curiously
increase heightened
increasing heightened
increased heightened
solely only
conquistadors conquerors
forecasting forecasts
forecasting forecast
raises increases
moderne modern
hedge hedging
confrontations clashes
organizing organize
ibn bin
hindered impeded
deflection deviation
worrisome troubling
accelerates speeds
initiated start
initiated started
distrust mistrust
savannah savanna
reverted return
reverted returned
rightful legitimate
phd doctoral
storage stores
bear bears
infarct infarction
macao macau
conversion transformation
outcomes results
seminar seminars
race racing
aforesaid aforementioned
entertaining entertain
capping cap
palestinians palestine
palestinian palestine
indicate indicated
uprising rebellion
define defines
unloaded unload
obstructed hindered
leaking leak
producers manufacturer
producers manufacturers
coordination coordinating
isolating isolate
installing installation
hinders impedes
hinder impedes
hindering impedes
hinder impede
hinders impeded
hinders impede
generating generate
shortages shortcomings
abdul abdel
gathered collated
appealing attractive
previous preceding
covered cover
realist realistic
undoing undo
breathing respiration
viability sustainability
worldwide globally
retaliatory retaliation
disrupted hindered
confederacy confederation
centennial centenary
positions stances
restart resumes
forcefully forcibly
smothered suffocated
reload reloading
verification checks
defeats beat
disputes contentious
assessments analysis
assessments analyses
sent dispatched
send dispatched
sent dispatch
sincere heartfelt
characteristics traits
receipts receipt
handbook manual
spending expenditure
spent expenditure
crazy insane
statistics statistical
auntie aunt
alongside beside
bazar bazaar
dostoevsky dostoyevsky
staggering startling
stunning staggering
inadequacies deficiencies
evaluations appraisals
shipping vessel
negligence carelessness
dispatches sends
programs programme
program programmes
program programme
programs programmes
toughest harshest
insulate isolate
trapping trap
prohibiting banning
prohibits banning
particulates particles
surging rising
identified detected
steal stolen
hindered disrupted
disable disabling
precautionary preventive
obstructing hampers
obstructs hampers
dishonored disgraced
corrected rectified
correcting rectified
effectiveness efficiency
returning reverting
return reverting
primarily chiefly
manifestations demonstrations
looting pillage
baggage luggage
bloodstained bloodied
repealed repeal
views opinion
typical characteristic
plaintiffs complainant
depicting portraying
mens men
impede inhibits
impedes inhibits
impeded inhibits
resulting resultant
interfering intruding
unlocked unlatched
mortal fatal
unfortunate regrettable
revenge vengeance
highlights emphasizing
highlighting emphasizing
unwelcome undesirable
cloned clone
mistaken error
review reviewing
discontinued ended
issuance issue
forcefully vigorously
settling resolving
arrest arresting
conscious aware
sewerage sewage
contempt disdain
commenced commence
tycoon magnate
disarming disarmament
dissenters dissidents
boosted accelerated
counsellor adviser
viewed visualized
minors juveniles
enduring lasting
falling declining
wholesome healthier
wholesome healthy
alert alerting
saami sami
globally worldwide
funding funds
bestest best
grays greys
gray greys
suppliers providers
represent representing
headphones headsets
repeating repeat
prescribe prescribed
envision envisage
speeded accelerated
sped accelerated
remedied rectified
responsibilities liabilities
unconditionally unreservedly
unemployed jobless
gratitude thanking
decorations ornaments
magnificent wonderful
modernized upgraded
modernize upgraded
modernized upgrade
undermines erodes
liquid liquids
dreadful appalling
indicated stated
egg eggs
prolonging lengthening
obliterating destroying
crime criminality
prolonged lengthy
stubbornly doggedly
facilitate facilitating
preserving maintaining
impeded constrained
converted convert
worksheets spreadsheets
detected identified
vigorously strongly
designate designated
modifying amending
cast casting
marrakech marrakesh
reviewing review
greys grays
greys gray
eagerly impatiently
effective efficient
worrisome disquieting
simplified streamlined
simplifying streamlining
simplified streamlining
simplifying streamlined
participation involvement
shame disgrace
modifications changes
audits verification
honourably honorably
preventive preventative
predictable foreseeable
altered modified
representatives delegates
savanna savannah
validate validating
inspecting checking
inspected checked
inspected checking
southeastern southeast
commitments pledges
lorry truck
chefs chiefs
deviation deflection
pajamas pyjamas
alterations modifications
pleasing gratifying
sharply drastically
rental leasing
vengeance revenge
advisers consultants
frighteningly alarmingly
reviews inspects
reviews inspecting
consequences repercussions
principal main
outstripped surpassed
repeats repetitions
pancreatic pancreas
indicates indicate
shrank decrease
shrank decreased
measurable quantifiable
competitors contenders
wanted wanna
accomplishments successes
regulations ordinance
regulations ordinances
portraying depicting
supervise monitor
targeting target
constrained impeded
increased widened
uses usage
hemorrhaging bleeding
organize organise
disgraced shamed
circumspect cautious
rose hiked
rise hiked
rising hiked
regarding concerning
expenditure spending
expenditure spent
east eastward
important significant
flees escapes
hijack hijacking
reliant dependent
clarifying clarify
reset restart
dalmatian dalmatia
synchronize synchronization
nonsensical absurd
alienation estrangement
rushed hurried
canceling cancelling
allows enables
indicate indicates
identify identifies
automatic automated
storehouses storerooms
proscribed prohibited
reaffirms reassert
reaffirm reassert
reaffirmed reassert
plough plow
dostoyevsky dostoevsky
organise organize
obstructed hindered
perturbed disturbed
repayments refunds
assisting assist
assisting assists
readjusted adjustment
mustache moustache
restricted confined
significant important
significantly dramatically
lactating breastfeeding
start commenced
started commence
started commenced
unmatched unrivalled
refreshing refresh
spaceships starships
separate segregate
clients customers
clients customer
client customers
beating beat
disillusioned disappointed
date dated
jihadist jihadi
snaps snapshots
updates updating
update updating
entering penetrating
saturated saturate
mohammed mohammad
disabling disable
specs specifications
disguise conceal
committed perpetrate
youngsters teenagers
sent dispatched
sends dispatched
send dispatched
difference variance
highlight emphasise
highlights emphasise
dissemination disseminated
dissemination disseminate
unparalleled unsurpassed
locos locomotives
downloads download
archeological archaeological
continuous ongoing
uterus womb
understand comprehend
understood comprehend
combating fighting
answerable accountable
drier dryer
exhibition exposition
reckless careless
overthrown ousted
sharply dramatically
emphasise stress
emphasise stresses
emphasise stressed
mount mounting
intervene interfere
fragrance perfume
cleanup cleaning
offenses offences
discord dissension
credentials certificates
prefers prefer
limit constrains
limiting constrains
limited constrains
limits constrains
frustrated disappointed
jailed incarcerated
verification audits
environment environments
breathing breathe
flatmate roommate
muhammad mohammad
selfish egotistical
removals elimination
removals eliminations
significant important
continually steadily
traveling travelling
increase raises
increases raises
combat fighting
celebrate celebrated
conflicts disputes
programs programmes
unsettling troubling
mainly chiefly
reduce reduced
smallest littlest
vary differ
brainstorm brainstorming
revealed disclosed
ok okay
abandoned relinquished
modern contemporary
compliance conformity
definitions definition
schedule timetable
wonderful magnificent
renewed refurbished
outcomes results
outcomes result
commissioners commissars
impeccable irreproachable
veterinary veterinarian
toppled ousted
swiftly speedily
coordinate coordinates
emblematic symbolic
deliberately wilfully
useful helpful
defeating defeat
specifies specify
highways roadways
government governments
instructive enlightening
stress emphasise
stresses emphasise
stressed emphasise
demolishing destroying
steady stable
particularly notably
shoe shoes
seminars seminar
emphasizing highlights
emphasizing highlighting
participation involvement
danger risk
sped accelerated
irrespective regardless
immense huge
arouses sparks
solitude loneliness
paradoxically ironically
riveting fascinating
announcements proclamations
flawless impeccable
headquarters headquarter
diverse different
destitute indigent
annex annexe
warranties guarantees
manufacturers industrialists
influence influencing
analogue analog
combustible flammable
nimble agile
selecting select
diagnostics diagnoses
doctorate doctoral
chiefly mostly
lengthen prolong
change shifted
changed shifted
hijacking hijack
police policing
packaging packing
streamlined simplified
streamlining simplifying
streamlining simplified
streamlined simplifying
preemptive preventive
reduced reduce
accelerated boosted
render rendering
instant instantaneous
forcible forced
keyboard keypad
appraisals assessment
appraisals assessments
arrange organize
inferred deduced
ousted toppled
annoyed irritated
unimpeded unfettered
abdel abdul
mitigate mitigating
starships spaceships
deportations evictions
regardless irrespective
onboard aboard
households homes
duplicating duplicate
extraterrestrial alien
personalised customized
routing route
killers murderers
emile emil
southeast southeastern
lubricating lubricant
focus concentrate
forgery falsification
girls girl
rental leased
recurring recurrent
preserve preserving
lengthening prolonging
incarnation embodiment
dissemination disseminate
likable likeable
rebellions uprisings
offences offenses
realistic realist
mimic emulate
transmitting transmit
disclosed revealed
storerooms storehouses
expenditure spending
expenditure spent
testimonies testimonials
phase stage
cosmonaut astronaut
penitentiary correctional
suggesting insinuating
improbable implausible
humanity mankind
australian australians
harshest toughest
exception exemption
restarts restart
liquids liquid
pleased glad
ornaments decorations
unconquerable invincible
curved curve
exercising exercise
brutally savagely
virtually practically
organization organisation
insurgent rebel
thereafter afterward
rushed hurried
unable incapable
responsibility obligations
responsibilities obligations
rent renting
reforming reform
reforming reforms
behaviour behavior
prerogative privilege
mutiny rebellion
voyage journey
realizations accomplishments
seized confiscated
ignored overlooked
firmly resolutely
listed list
complainant plaintiffs
residence residency
subsequent later
immensity vastness
specific special
populated populous
booting boot
divergence discrepancy
reverting revert
replying responding
russian russians
liaise liaising
aunt auntie
photography photographic
reject rejecting
enjoyable pleasurable
detected identified
commence commenced
apparent obvious
justification rationale
counsellor counselor
scenery landscape
compassion sympathy
involvement participation
restricted hampered
receipt receipts
adviser consultant
faxed fax
balance balancing
evictions deportations
attempts endeavours
decoding decode
different divergent
privilege prerogative
forwarded transmitted
voluntary volunteer
upgrade upgrading
depressing disheartening
cleaned sanitized
astonished amazed
aborigines aboriginals
moustache mustache
perpetrated commits
jews jew
overthrew ousted
harmful damaging
insanely incredibly
disturbing worrisome
drier driest
moult molt
informal unofficial
bravery courage
surrendered capitulated
bounds boundaries
increase gains
increased gains
increasing gains
increases gains
recognize recognizing
modelling model
homicidal murderous
policing police
anywhere nowhere
traits characteristics
blah bla
experiences enjoys
vapours vapors
longer long
km kilometres
durable lasting
dreaming dreams
dreaming dream
revealed disclosed
remedy redress
recollections reminiscences
littlest smallest
northwest northwestern
particles particulates
modernized upgraded
limits restrictions
wherever whenever
supposed presumed
designate designated
judicial juridical
renowned famous
toppled ousted
precursor forerunner
widens increased
widens increases
widens increase
widens increasing
battle fight
erroneously wrongfully
pricing costing
folly foolishness
quelled suppressed
soybeans soya
undeniable incontrovertible
halted discontinued
murdered assassinated
headsets headphones
manoeuvring maneuvering
infuriating exasperating
retrieve recover
declining falling
unidentified unknown
aggression aggressiveness
putsch coup
starts beginnings
start beginnings
croatian croats
croatians croat
croatians croats
croatian croat
thrived prospered
disputes conflicts
broaden broadening
firmly strongly
merged amalgamated
anxiously impatiently
hurried rushed
flammable combustible
resisted withstood
underwriters insurers
leak leaking
approximately approx
trebled tripled
countless numerous
eliminate delete
eliminating delete
permissible acceptable
dramatically markedly
answers answering
answer answering
diving dive
color coloured
color colour
deposit deposited
cinematic cinematographic
computerised computerized
parental paternal
demonstrating demonstrate
counsellor counselor
affluent wealthy
validating validate
pyjamas pajamas
propositions proposals
bin ibn
dmitri dmitry
deduced inferred
unrivalled unmatched
examinations reviews
kidnappings abductions
efficient effective
huge great
matching match
matching matches
enterprising entrepreneurial
repulsive repugnant
evaluation assessment
accomplishments realizations
unplanned unscheduled
wait waiting
waits waiting
elements components
antiquities antiques
accelerated boosted
sorts sort
require requires
inferred deduced
rightly justifiably
heightens increase
heightens increases
assessment evaluation
ousted toppled
default defaulted
emigrate emigrating
unequalled unparalleled
ubiquitous pervasive
tricky difficult
oppressed downtrodden
perhaps maybe
analyzing analysing
negotiating negotiate
adjustments modifications
specify specifies
relationships relationship
desolation devastation
infraction infringement
altered amended
altered amend
implausible improbable
rental leased
rental leasing
opinion views
contenders competitors
dissatisfied disaffected
enterprises corporations
enterprise corporations
skating skate
susceptibility sensitivity
selects picks
select picks
streamline simplify
streamline simplified
download downloads
erodes undermines
amended altered
amend altered
modifications adjustments
adapting adapt
averting avoiding
costing pricing
disclosed revealed
increased broadened
authorised authorized
whenever wherever
provisions regulations
glad delighted
vessel shipping
evaluation assessment
unrestrained unfettered
methods means
mohammad muhammad
uprisings rebellions
seized confiscated
hilly mountainous
construed interpreted
supposition presumption
shortfall deficit
inaccessible unavailable
erode undermine
feasible possible
cacao cocoa
honoured honored
dissension discord
instructions guidelines
preserving preserve
dancing dance
dancing dances
funded financed
abductions kidnappings
mahmoud mahmud
converting convert
bravely valiantly
coloured color
colour color
modifications changes
modifications change
abandons renounces
absolutely definitely
proposals propositions
proposal propositions
recognisable identifiable
widened increased
widened increase
strengthened strengthening
original initial
privileges prerogatives
suffocated smothered
gravity severity
perverted perverse
abdul abdel
ousted overthrown
ordinance regulations
ordinances regulations
enlarging enlargement
protections safeguards
unrivalled unparalleled
seeking striving
seeking strive
setting settings
leasing rental
presumed supposed
disrupted hampered
orders decrees
defects deficiencies
across throughout
modifications alterations
spreadsheets worksheets
eradicate eradicated
dumb stupid
flower flowering
kidnapped abducted
innards entrails
arousing causing
communicating communication
savior saviour
denounces condemns
leased rental
presently currently
cooperated collaborated
cooperate collaborating
cooperate collaborated
cooperated collaborate
cooperate collaborate
relentless ruthless
deficiencies defects
insinuated suggested
fights battles
change alterations
changes alterations
bark barking
styling style
substitution replacement
divergent differing
snake serpent
appraisals evaluations
escaped fled
organized organize
encourage encouraging
detect detects
unpardonable inexcusable
instructions directions
receding decreasing
samples specimens
raises increase
raises increases
substantially markedly
sensors detectors
resolving resolve
assumptions hypotheses
justifiably legitimately
impedes hinders
deferred postponed
impedes hinder
impedes hindering
impede hinder
impeded hinders
impede hinders
pledges commitments
objets objects
complimentary complementary
opening opens
opening open
combined combine
useless worthless
preventive precautionary
decline decrease
hosted host
halted discontinued
prospered thrived
massive enormous
id identifier
murdered assassinated
storehouses depots
responsibilities responsabilities
liberating liberate
corporations enterprises
corporations enterprise
contributions donations
specific precise
eternal perpetual
complicated complex
beheaded decapitated
disheartening discouraging
undo undoing
hurried rushed
interestingly curiously
resisted withstood
consequences results
archaeological archaeology
fully entirely
elimination removals
eliminations removals
basle basel
requisition requisitioning
select selects
sized size
repetitions repeats
collaboration cooperation
amending modifying
cases instances
rest remainder
unusual uncommon
viewed opinion
principles precepts
impossibly unbelievably
imagery imaging
relationship relationships
marrakesh marrakech
positions stances
adapting adapt
rescues rescuing
rescue rescuing
attending attend
deduced inferred
standpoint perspective
bans prohibition
bans prohibitions
false fakes
impending forthcoming
avoiding avoid
limitations restriction
limitation restriction
cancelling canceling
sterile infertile
biologic biological
discontinued halted
deployed deploy
crucially vitally
contentious disputes
limitations constraints
impeding preventing
behavior behaviour
objects objets
strengthen bolster
strengthened bolster
approving approve
meager meagre
sizeable significant
hazardous dangerous
dissolution disbanding
driest drier
wide broader
wide broad
wider broader
wider broad
findings results
targets objectives
barbecue barbeque
rocket missiles
rocket missile
adolescents teenagers
analytic analytical
wronged mistaken
delegates representatives
malnourished undernourished
hypotheses assumptions
suspend discontinue
ruskies russkies
methods method
saviour savior
cassava manioc
conformity accordance
abnormally unusually
postponed deferred
irritated annoyed
executives administrative
gains increase
gains increased
gains increasing
gains increases
battles fights
shortcomings shortages
essential indispensable
biggest hugest
administrative executives
restricting curbing
objective objectives
proportionate commensurate
gonzalez gonzales
roadways highways
molt moult
fell decreased
fall decreased
fallen decrease
fallen decreased
underlines highlight
underlines highlights
underline highlights
underline highlight
underlined highlight
tsar czar
utilize utilized
beginnings starts
beginnings start
curtail curb
sparked aroused
behavioral behaviour
withstood resisted
customers clients
customer clients
customers client
complicated difficult
discrepancy divergence
relinquished abandoned
underrated undervalued
requisite necessary
subpoena summons
enjoys experiences
kms kilometres
km kilometres
medicinal medical
unfettered unimpeded
inactivity inaction
undernourished malnourished
demonstration manifestation
combined amalgamated
headphones headsets
updating updates
updating update
perplexity bewilderment
finalizing finalize
probabilities likelihood
guerrillas insurgents
annulled canceled
annulled cancelled
lowers reduction
lowers reductions
decorations ornaments
permitted allowed
jeopardised compromised
killed assassinated
homosexual gay
detectors sensors
formulae formula
displaying display
displaying displays
worksheets spreadsheets
learn learning
halting stopping
limits limitations
beat beating
ousted overthrew
polling poll
diseases illnesses
hampered disrupted
broadening broaden
writing write
sorting sort
labourer laborer
cemeteries cemetery
clone cloned
currently presently
recover retrieve
picks selects
picks select
adequate sufficient
smells odour
smell odour
informed enlightened
affiliate affiliated
concrete specific
lengthy prolonged
inhibiting hindering
damn damned
loading load
fight battle
statistical statistics
okay ok
beautifully splendidly
anomalous abnormal
updated updating
leased rental
leasing rental
restrict constrain
differ vary
retrieving retrieve
detects detected
dispersed disperse
illustrated exemplified
murderers killers
debrief debriefing
stockholder shareholder
maiming mutilating
encoded encrypted
inappropriate unsuitable
important crucial
escaped fled
regulations ordinances
shrewd astute
confined restricted
particularly specifically
plainly clearly
assumption supposition
resolves solves
assertion affirmation
kilometres kms
kilometres km
wrangling squabbling
restart restarts
searched scoured
enriched enrich
isolate isolates
deferred postponed
unhurt unharmed
reviewing assessment
custody detention
sleepiness drowsiness
constraints limitations
rebooting reboot
crazy mad
delete deleted
decapitated beheaded
restart resume
inhibited impeded
indiscriminately randomly
whilst while
timeline timetable
depots storehouses
pleasant pleasurable
obligations responsibility
obligations responsibilities
undermined weakened
km kilometre
nonsensical senseless
key essential
prohibiting prohibit
intruding interfering
confronting face
confronting facing
decreasing shrinking
retained preserved
pier piers
uncomfortable uneasy
explicitly specifically
beheaded decapitated
ventilation ventilating
simplify streamline
simplified streamline
vulnerabilities frailties
reverses reversals
undetermined indeterminate
overlap overlapping
blasts explosions
olympians olympic
ingrained entrenched
cancel annul
cancelled annul
harvesting harvest
access accessing
overcrowded congested
entrails innards
unsuitable unfit
helicopters choppers
incompatibility inconsistency
illumination lighting
detail details
infiltrate penetrate
stocks stock
disks discs
disk discs
predicting predict
assigned allocated
impatiently anxiously
certificate certification
laptop notebook
bargaining negotiating
upgrading upgrade
enraged angered
mohamed mohammad
imperative essential
transmitted forwarded
select choose
abridged abbreviated
economics economies
soya soybeans
explore exploring
dangerous hazardous
enables allows
widest broadest
encounters confrontations
explosions blasts
forgers counterfeiters
prohibit prohibits
impedes prevents
impede prevents
impeded prevents
preserved retained
assigned allocated
assign allocated
discontinued halted
eagerly anxiously
difficult tough
youths youth
rebeca rebecca
phillip philip
supporting supports
supporting support
phillip philips
increased widened
increase widened
initial original
entertainment amusement
donations contributions
insurgents guerrillas
breathe breathes
noticeable discernible
disappearing vanish
disappear vanish
superbly beautifully
mutilating maiming
redeploy redistribute
funds funding
increase grows
increases grows
increasing grows
increased grows
isolates isolate
intensifying intensified
barrier obstacle
shortage shortfall
reales actual
postponed deferred
level tiers
levels tiers
requires require
proclamations announcements
financing finance
dramatically substantially
prefer prefers
unlicensed unauthorised
isolate insulate
encrypted encoded
repeat repeating
smiles smiling
smile smiling
manages administers
eastern east
hindering inhibiting
correctional penitentiary
abduct kidnapping
abducted kidnap
abduct kidnap
overlooked ignored
imbued impregnated
restrictions limits
resume resumed
indispensable essential
paste pasting
unreasonable unjustified
imaginings imaginations
sparked aroused
withstood resisted
objectives targets
stances positions
trader dealer
hampered obstructed
likeable likable
chairperson president
designated designate
consolidate consolidating
mistrust distrust
transmit transmitting
gain obtain
brutally cruelly
combined amalgamated
influencing influence
harder harsher
identify identifies
decreased reduced
granny grandma
sacred sacrosanct
hampered restricted
humid moist
hideous heinous
disseminated dissemination
disseminate dissemination
guaranteed guarantee
guaranteed guarantees
killed assassinated
opponent adversary
serviceable usable
retrieve retrieving
curiously strangely
started commencement
starting commencement
roommate flatmate
meaningful significant
horrible appalling
cracking cracks
silly foolish
formation creation
hugest biggest
curbing restricting
facilitate facilitating
ranch ranching
razing bulldozing
arrangements agreement
arrangements agreements
arrangement agreements
arrangement agreement
recoup recover
insecure precarious
tools instruments
recognizes acknowledges
accelerated speeded
accelerated sped
conversations talks
gonzales gonzalez
collated gathered
australians australian
suitably adequately
observers observer
ensures ensure
inconsistent incompatible
reduction declines
reductions declines
unbelievably impossibly
expeditious rapid
likelihood probabilities
disheartening depressing
empower empowering
confiscated seized
outcomes results
outcomes resulting
risks dangers
meanwhile meantime
empathy sympathy
determine determining
injures injuries
deferment adjournment
tires tyres
exhausting tiring
focuses concentrates
fakes false
shifted change
shifted changed
mum mom
moist humid
revealed uncovered
consistent coherent
reducing lessens
reduced lessens
reduces lessens
turbulent tumultuous
fridge refrigerator
intensified intensify
calculate calculating
disappointment disenchantment
unwillingly reluctantly
caused reason
reminiscences recollections
categorically flatly
similarly equally
horribly terribly
humiliate humiliated
meticulously carefully
promptly rapidly
fighting combat
partnering partnership
partnering partnerships
revoke rescind
plunder pillage
throughout across
policing police
policing polices
rectified corrected
smallest tiniest
discs disks
discs disk
refresh refreshing
motors automobiles
hurt harmed
substantially greatly
jogging jog
weakened undermined
decapitated beheaded
ornaments decorations
inhibited impede
inhibited impeded
helpful useful
unending interminable
delayed deferred
grounds justifications
abrupt sudden
efficacious effective
abundant plentiful
cancelled canceled
sacrosanct sacred
pooling pool
inmates detainees
ousted deposed
drowsiness sleepiness
delegate delegated
laughable ludicrous
continue continuing
obligations liabilities
prohibition bans
prohibitions bans
retaliation retaliatory
dispatched sent
dispatched send
dispatch sent
russians russian
reduction lowers
reductions lowers
enhancing enhance
congrats congratulations
kilometre km
courts tribunals
strained tense
expand expanding
simultaneous concurrent
valiantly bravely
impregnated imbued
extant presented
admissible acceptable
earnings revenues
coherence cohesion
specifications characteristics
subjects issues
unparalleled unrivalled
vapour vapor
obstructed hampered
reinforcing strengthening
uploading downloading
lecture lectures
virtually practically
rebellion uprising
twisting twist
decent dignified
while whilst
mid middle
bulldozing razing
commander commandant
evaluation assessment
refuses rejects
rooted ingrained
enraged angered
encrypted encoded
unwarranted unfounded
separated detached
authorized authorised
decreased fell
decreased fall
decrease fallen
decreased fallen
impeded inhibited
philip phillip
philips phillip
assessments assessed
upcoming forthcoming
erroneously falsely
halting halt
definition definitions
sparks ignites
imaging imagery
humour humor
curb curtail
significance importance
promotes promote
cooperate cooperation
violated infringed
testicles testes
uninterrupted unbroken
reduced diminished
integrating merging
cooled refrigerated
medicine medication
harmed hurt
rmb renminbi
doctorates phds
farthest furthest
license licensed
striving seeking
strive seeking
rises raises
unfettered unbridled
fax faxing
unshakeable unswerving
identifiable recognisable
fighting fight
fighting fights
rises soars
refurbished renewed
rose soars
rise soars
report reporting
renounces abandons
weighing weigh
goal objective
cooperating cooperate
analyse analysing
repeat repetition
allocated assigned
wrath anger
deport expel
notably particularly
suicide suicidal
undermined eroded
efficacy effectiveness
bathroom washroom
advisor adviser
advisors adviser
advisor advisers
advisors advisers
tombstones headstones
formulate formulating
abruptly suddenly
sofa couch
commenced start
commence started
commenced started
determining determine
congrats congratulations
continuing continue
decrees edicts
nurse nursing
hindering obstructing
pleasant enjoyable
disadvantaged disadvantage
disorders disturbances
allocated assigned
allocated assign
disenchanted disillusioned
affirmation assertion
cooperate cooperating
everybody everyone
overseeing supervising
provoked aroused
assignments assignment
channel canal
ban prohibition
ousted deposed
archeology archaeology
standoff confrontation
raises rises
exemption exception
petroleum oil
advanced advance
sacredness sanctity
advanced advances
saturate saturated
mistaken wronged
rejects refuses
hugely tremendously
restrict restricting
unharmed unhurt
modifying amending
major important
separate distinct
reviewed inspected
review inspected
opinion viewed
interlock interlocking
streamline streamlining
usage uses
impair undermine
propensity tendency
inadequate insufficient
affirmation confirmation
propositions proposals
propositions proposal
kidnaps abducts
kidnapping abducted
split divide
resolved remedied
headstones tombstones
recapture recaptured
stiffness rigidity
alarmingly frighteningly
offense offence
bla blah
neighbour neighbours
teenagers adolescents
accelerated sped
definitive definite
unload unloaded
paralysis palsy
fled escaped
improve improves
contaminated polluted
seafloor seabed
booklets pamphlets
troubles difficulties
scanned scan
confiscated seized
halt stop
adviser advisor
adviser advisors
advisers advisor
advisers advisors
km kilometers
incendiary inflammatory
revealed uncovered
mid middle
opportunity opportunities
alterations changes
adjustments modifications
realistic realist
adjustment modifications
residuals residues
residual residues
clarify clarifying
immensely extraordinarily
illnesses diseases
assessment evaluation
intermediary middleman
helpless defenseless
burn burns
congested overcrowded
annex annexe
surprised amazed
profiles profile
salted salty
rectified corrected
rectified correcting
penetrate infiltrate
ecg ekg
hiring hire
modifications adjustments
modifications adjustment
informed apprised
declines reduction
declines reductions
relevant pertinent
characteristics feature
characteristic feature
forestalled prevented
approachable accessible
landscaping landscape
inflammatory incendiary
delayed deferred
merging integrating
searched search
freeway motorway
ruthless relentless
endeavours attempts
steadily continually
objectives goals
focusing concentrating
select choose
repudiate reject
firefighters firemen
simplify simplifying
jeopardize undermine
speed speeding
waiting wait
waiting waits
adapted tailored
adapting tailored
japanese japans
japanese japan
dispatched sent
dispatched sends
dispatched send
catastrophes calamities
enormous massive
redefine redefining
dearth shortage
targets objectives
targets objective
helpful useful
characteristics specifications
limited constrained
beijing peking
muhammad mohammad
ensure ensuring
instances cases
performing perform
habitat habitats
requesting request
persuasive compelling
integrate integrated
opens open
issues subjects
supports endorses
identifying detecting
dance dancing
dances dancing
sing sings
mimicking imitating
counterfeiters forgers
penetrating entering
pusan busan
unlimited limitless
assessments appraisals
negotiations talks
canceled revoked
cancelled revoked
permanently constantly
astonishingly strikingly
operating operation
requires require
lumber timber
correcting rectifying
broadest widest
grows increase
grows increases
grows increasing
grows increased
violations breaches
sort sorts
wrong incorrect
beautifully superbly
impede inhibited
impeded inhibited
containing contain
ordinances regulations
steamer steamship
limitations limits
damage harm
cover covered
calculating calculate
bazaar bazar
east eastern
connected related
propose proposing
finished finish
mutilate maim
revenge avenge
tranquillizers tranquillisers
attempt attempting
installs install
protecting safeguarding
decrease decreased
decreases decreased
profligate wasteful
orders decrees
orders decree
update updated
updates updated
capture capturing
importance important
reward rewarding
throttle accelerator
assessment reviewing
uses utilizes
cocoa cacao
highlighted underlined
pasting paste
laborer labourer
seafloor seabed
broadening expanding
view visualizing
viewing visualizing
disinfection disinfecting
fights battles
fight battles
directions guidance
breastfeeding lactating
uterus uterine
aroused sparked
influence influencing
meeting meetings
planes aircrafts
specious fallacious
examining examine
aid helps
aid help
undermined eroded
enormously extraordinarily
sensors detectors
cases instances
case instances
